id,label,frequency,group
ground turmeric,ground turmeric,949,1
sweetened condensed milk,sweetened condensed milk,271,1
gari,gari,50,1
tofu,tofu,136,1
celery seed,celery seed,66,1
parsley,parsley,345,1
phyllo dough,phyllo dough,67,1
lettuce leaves,lettuce leaves,189,1
quickcooking grits,quickcooking grits,86,1
cooked ham,cooked ham,74,1
artichoke hearts,artichoke hearts,135,1
warm water,warm water,577,1
roasted peanuts,roasted peanuts,156,1
ginger root,ginger root,123,1
shrimp paste,shrimp paste,56,1
vegetables,vegetables,197,1
ground almonds,ground almonds,50,1
poultry seasoning,poultry seasoning,62,1
sun-dried tomatoes,sun-dried tomatoes,161,1
amchur,amchur,87,1
whole wheat flour,whole wheat flour,179,1
seedless cucumber,seedless cucumber,50,1
dry white wine,dry white wine,1218,1
lime wedges,lime wedges,482,1
corn syrup,corn syrup,63,1
dry mustard,dry mustard,152,1
white onion,white onion,684,1
ancho chile pepper,ancho chile pepper,143,1
raisins,raisins,460,1
paneer,paneer,110,1
salad dressing,salad dressing,69,1
sherry,sherry,79,1
strawberries,strawberries,219,1
cooking spray,cooking spray,1490,1
fresh lime juice,fresh lime juice,1368,1
cheese tortellini,cheese tortellini,55,1
whole milk ricotta cheese,whole milk ricotta cheese,53,1
tomatillos,tomatillos,322,1
low sodium chicken broth,low sodium chicken broth,339,1
dried red chile peppers,dried red chile peppers,103,1
cheddar cheese,cheddar cheese,424,1
pecorino romano cheese,pecorino romano cheese,157,1
boneless chicken skinless thigh,boneless chicken skinless thigh,343,1
rice vermicelli,rice vermicelli,93,1
paprika,paprika,1287,1
anchovies,anchovies,52,1
almonds,almonds,194,1
steamed rice,steamed rice,50,1
cornmeal,cornmeal,368,1
taco sauce,taco sauce,63,1
smoked ham hocks,smoked ham hocks,62,1
dill,dill,96,1
grapeseed oil,grapeseed oil,79,1
egg whites,egg whites,453,1
button mushrooms,button mushrooms,163,1
sea scallops,sea scallops,114,1
penne,penne,113,1
bourbon whiskey,bourbon whiskey,199,1
fresh lemon juice,fresh lemon juice,1679,1
cream,cream,258,1
baguette,baguette,270,1
chopped tomatoes,chopped tomatoes,298,1
lemon,lemon,1218,1
deveined shrimp,deveined shrimp,52,1
hazelnuts,hazelnuts,100,1
ground turkey,ground turkey,168,1
firm tofu,firm tofu,207,1
green cardamom pods,green cardamom pods,80,1
chinese five-spice powder,chinese five-spice powder,253,1
tomato sauce,tomato sauce,865,1
curry powder,curry powder,694,1
whipping cream,whipping cream,619,1
boiling potatoes,boiling potatoes,99,1
fresh green bean,fresh green bean,90,1
whipped cream,whipped cream,103,1
lime juice,lime juice,1072,1
rotisserie chicken,rotisserie chicken,66,1
ham,ham,222,1
crimini mushrooms,crimini mushrooms,64,1
table salt,table salt,79,1
fontina cheese,fontina cheese,107,1
minced garlic,minced garlic,1583,1
ground allspice,ground allspice,364,1
dashi,dashi,128,1
quinoa,quinoa,116,1
brandy,brandy,169,1
capers,capers,541,1
scallions,scallions,1891,1
dark soy sauce,dark soy sauce,312,1
shredded cheddar cheese,shredded cheddar cheese,769,1
radishes,radishes,282,1
rolls,rolls,88,1
cooking wine,cooking wine,62,1
large egg whites,large egg whites,485,1
low-fat buttermilk,low-fat buttermilk,78,1
mustard greens,mustard greens,51,1
thai red curry paste,thai red curry paste,127,1
daikon,daikon,150,1
confectioners sugar,confectioners sugar,395,1
soy sauce,soy sauce,3296,1
sesame seeds,sesame seeds,676,1
heavy cream,heavy cream,1146,1
ground lamb,ground lamb,136,1
stewed tomatoes,stewed tomatoes,175,1
medium shrimp,medium shrimp,461,1
english cucumber,english cucumber,189,1
baking soda,baking soda,942,1
flour tortillas,flour tortillas,865,1
